,Område,Tid,Indhold
491,Odsherred,2009,14548
492,Odsherred,2010,14236
493,Odsherred,2011,14105
494,Odsherred,2012,13794
495,Odsherred,2013,13821
496,Odsherred,2014,13946
497,Odsherred,2015,14044
498,Odsherred,2016,14163
499,Odsherred,2017,14272
500,Ringsted,2008,17259
501,Ringsted,2009,16615
502,Ringsted,2010,16434
503,Ringsted,2011,16425
504,Ringsted,2012,16250
505,Ringsted,2013,16356
506,Ringsted,2014,16628
507,Ringsted,2015,17081
508,Ringsted,2016,17231
509,Ringsted,2017,17595
510,Slagelse,2008,38477
511,Slagelse,2009,36684
512,Slagelse,2010,35996
513,Slagelse,2011,35701
514,Slagelse,2012,35170
515,Slagelse,2013,34951
516,Slagelse,2014,35346
517,Slagelse,2015,35897
518,Slagelse,2016,36705
519,Slagelse,2017,37047
520,Sorø,2008,15028
521,Sorø,2009,14486
522,Sorø,2010,14248
523,Sorø,2011,14096
524,Sorø,2012,13810
525,Sorø,2013,13791
526,Sorø,2014,14031
527,Sorø,2015,14204
528,Sorø,2016,14377
529,Sorø,2017,14468
530,Stevns,2008,11431
531,Stevns,2009,10875
532,Stevns,2010,10736
533,Stevns,2011,10663
534,Stevns,2012,10550
535,Stevns,2013,10485
536,Stevns,2014,10625
537,Stevns,2015,10788
538,Stevns,2016,10942
539,Stevns,2017,11197
540,Vordingborg,2008,21844
541,Vordingborg,2009,20581
542,Vordingborg,2010,20267
543,Vordingborg,2011,20019
544,Vordingborg,2012,19602
545,Vordingborg,2013,19442
546,Vordingborg,2014,19431
547,Vordingborg,2015,19666
548,Vordingborg,2016,20000
549,Vordingborg,2017,20274
550,Region Syddanmark,2008,608313
551,Region Syddanmark,2009,577055
552,Region Syddanmark,2010,568845
553,Region Syddanmark,2011,563343
554,Region Syddanmark,2012,557154
555,Region Syddanmark,2013,557270
556,Region Syddanmark,2014,560952
557,Region Syddanmark,2015,565548
558,Region Syddanmark,2016,573618
559,Region Syddanmark,2017,582163
560,Province Fyn,2008,239387
561,Province Fyn,2009,227709
562,Province Fyn,2010,224166
563,Province Fyn,2011,220967
564,Province Fyn,2012,219133
565,Province Fyn,2013,219417
566,Province Fyn,2014,220977
567,Province Fyn,2015,222682
568,Province Fyn,2016,225951
569,Province Fyn,2017,229643
570,Assens,2008,21077
571,Assens,2009,19828
572,Assens,2010,19594
573,Assens,2011,19377
574,Assens,2012,18998
575,Assens,2013,18893
576,Assens,2014,18880
577,Assens,2015,19028
578,Assens,2016,19130
579,Assens,2017,19366
580,Faaborg-Midtfyn,2008,25948
581,Faaborg-Midtfyn,2009,24582
582,Faaborg-Midtfyn,2010,24118
583,Faaborg-Midtfyn,2011,23660
584,Faaborg-Midtfyn,2012,23213
585,Faaborg-Midtfyn,2013,23183
586,Faaborg-Midtfyn,2014,23087
587,Faaborg-Midtfyn,2015,23305
588,Faaborg-Midtfyn,2016,23493
589,Faaborg-Midtfyn,2017,23864
590,Kerteminde,2008,11759
591,Kerteminde,2009,11085
592,Kerteminde,2010,10839
593,Kerteminde,2011,10574
594,Kerteminde,2012,10394
595,Kerteminde,2013,10534
596,Kerteminde,2014,10604
597,Kerteminde,2015,10686
598,Kerteminde,2016,10680
599,Kerteminde,2017,10885
600,Langeland,2008,6086
601,Langeland,2009,5766
602,Langeland,2010,5583
603,Langeland,2011,5366
604,Langeland,2012,5166
605,Langeland,2013,5133
606,Langeland,2014,5109
607,Langeland,2015,4998
608,Langeland,2016,5106
609,Langeland,2017,5121
610,Middelfart,2008,19214
611,Middelfart,2009,18334
612,Middelfart,2010,18156
613,Middelfart,2011,17986
614,Middelfart,2012,17838
615,Middelfart,2013,17976
616,Middelfart,2014,18183
617,Middelfart,2015,18182
618,Middelfart,2016,18468
619,Middelfart,2017,18700
620,Nordfyns,2008,15057
621,Nordfyns,2009,14212
622,Nordfyns,2010,14001
623,Nordfyns,2011,13773
624,Nordfyns,2012,13603
625,Nordfyns,2013,13396
626,Nordfyns,2014,13570
627,Nordfyns,2015,13687
628,Nordfyns,2016,13975
629,Nordfyns,2017,14189
630,Nyborg,2008,15311
631,Nyborg,2009,14597
632,Nyborg,2010,14158
633,Nyborg,2011,13869
634,Nyborg,2012,13635
635,Nyborg,2013,13533
636,Nyborg,2014,13656
